Code,Name,MainUnit,SecondUnit,MainUnitRatio,SecondUnitRatio
721110000008 ,黑胡椒油树脂NF6621/1kg/瓶*10瓶/箱/仲景,kg,箱,10,1
721110000009 ,优级黑胡椒油NF510/1kg/瓶*10瓶/箱/仲景,kg,箱,10,1
721110000010 ,藤椒精油NF6652/1kg/瓶*5瓶/箱/仲景,kg,箱,5,1
721110000011 ,辣椒油3号/25kg/桶/奥润,kg,桶,25,1
721110000012 ,红葱油/25kg/桶/奥润,kg,桶,25,1
721110000013 ,烟熏风味剂C-10-4/4kg/桶*4桶/箱/美国红箭,kg,桶,4,1
721110000014 ,大蒜调味油NET20825/1kg/瓶*10瓶/箱/仲景,kg,箱,10,1
721110000015 ,辣椒红油150/1kg/瓶*10瓶/箱/仲景,kg,箱,10,1
721110000016 ,五香油NF61320/1kg/瓶*10瓶/箱/仲景,kg,箱,10,1
721110000017 ,爆香葱油/25kg/桶/奥润,kg,桶,25,1
721120000003 ,柠檬油香精TN2022/2kg/瓶*10瓶/箱/天宁,kg,箱,20,1
721130000003 ,奥尔良烤鸡香精/5kg/桶*4桶/箱/爱普,kg,箱,20,1
721130000004 ,QC03165鸡肉香精/10kg/桶/保利德,kg,桶,10,1
721130000005 ,鸡肉味调味粉T6985A/25kg/袋/天博,kg,袋,25,1
721130000006 ,鸡肉精油香精TY0227821/2kg/瓶*10瓶/桶/天宁,kg,桶,10,1
721130000007 ,烤鸡香精Y2150335/2kg/桶*10桶/箱/天宁,kg,箱,20,1
721140000001 ,牛腩油状香精85189/5kg/桶/2桶/箱/天津春发,kg,桶,5,1
721150000001 ,鱼香精TY02294/2kg/桶*10桶/桶/天宁,kg,桶,20,1
721220000001 ,酵母提取物KA66/600g/包*10包/箱/安琪,kg,箱,6,1
721220000002 ,透骨香粉GY3227-80/1kg/包*20包/箱/港阳,kg,箱,20,1
721220000003 ,熏茶鹅香料N/宏芳,kg,袋,25,1
721220000004 ,粉状猪肉香精810H03/5kg/箱/凯虹,kg,箱,5,1
721220000005 ,乙基麦芽酚/500g/袋*40袋/箱/京达,kg,袋,0.5,1
721230000001 ,鸡肉香精XD00013T/25kg/桶/顶味,kg,桶,25,1
721230000002 ,鸡肉精粉LS3058/5kg/包/昆山园林,kg,包,5,1
721230000003 ,肉味香精CN7009H/25kg/袋/奇华顿,kg,袋,25,1
721230000004 ,鸡味脂肪香精/金晔,kg,袋,10,1
721230000006 ,鸡肉粉末香精F828/25kg/桶/天宁,kg,桶,25,1
721230000016 ,金标生抽酱油/海天/500ml瓶*12瓶/箱,kg,瓶,0.5,1
721250000001 ,复配增味剂A（超霸味A）/25kg/箱/顶味,kg,箱,25,1
721320000001 ,肉味香精E1321/天博,kg,箱,12,1
721320000002 ,香菇浸膏NC011/10kg/桶*2桶/箱/仲景,kg,箱,20,1
721330000003 ,酵母提取物TC01/10kg/箱/安琪,kg,箱,10,1
721330000005 ,脂质化鸡油/郴州天调,kg,箱,18,1
721340000001 ,牛肉精膏CW-680/1kg/桶*12桶/箱/天津威实,kg,箱,12,1
721340000002 ,酵母提取物TB01（牛肉风味）/5kg/桶*2桶/箱/安琪,kg,箱,10,1
721340000003 ,牛肉膏状香精2015/20kg/桶/天津春升,kg,桶,20,1
721340000004 ,牛肉香精（浆（膏）状香精E2188/20kg/桶/天博,kg,桶,20,1
721350000001 ,海鲜精膏CW-280/1kg/包*20包/桶/天津威实,kg,桶,20,1
731100000001 ,玉米淀粉/25kg/袋/诸城兴贸,kg,袋,25,1
731100000002 ,高筋粉/信中,kg,袋,5,1
731100000004 ,木薯淀粉/25kg/袋/广西来宾,kg,袋,25,1
731100000005 ,马铃薯淀粉/25kg/袋/奈伦,kg,袋,25,1
731100000006 ,特制小麦精粉/金谷,kg,袋,25,1
731100000007 ,马铃薯淀粉/25kg/袋/天之味,kg,袋,25,1
731100000009 ,高筋小麦粉(一等)/25kg/袋/台华,kg,袋,25,1
731100000011 ,中筋小麦粉（60粉）/嘉里/25kg/袋,kg,袋,25,1
731100000012 ,豌豆淀粉JYPS/40kg/包/健源,kg,包,40,1
731100000014 ,特一粉/25kg/袋/望乡,kg,袋,25,1
731100000015 ,小麦粉/25kg/袋/蓝天,kg,袋,25,1
731200000001 ,干白面包糠4mm/10kg/袋/朝阳,kg,袋,10,1
731200000002 ,干白面包2mm/12kg/袋/烟台鸿基,kg,袋,12,1
731200000003 ,姜黄面包糠4mm/烟台鸿基,kg,包,15,1
731200000052 ,面包糠(2mm干红)/12kg/袋/鸿基,kg,袋,12,1
731200000053 ,面包糠（雪花片）/15kg/袋/鲁厨,kg,袋,15,1
731200000055 ,裹粉ST7131(黄）/13kg/袋/三统,kg,袋,13,1
731200000056 ,裹粉ST713/13kg/袋/三统,kg,袋,13,1
731230000002 ,康宏香精5#-A/20kg/箱/康宏,kg,箱,20,1
731230000003 ,鸡肉膏状香精 84152/16kg/桶/春发,kg,桶,16,1
731300000001 ,川香鸡柳（小胸）复合料/25kg/袋/日辰,kg,袋,25,1
731300000002 ,迷你、骨连复合料/25kg/袋/和泓,kg,袋,25,1
731300000003 ,辣味连心脆复合料/25kg/袋/日辰,kg,袋,25,1
731300000004 ,五香连心脆复合料/25kg/袋/和泓,kg,袋,25,1
731300000005 ,小熊伴嫁复合料/25kg/袋/和泓,kg,袋,25,1
731300000006 ,奥尔良腌料202/25kg/袋/特味浓,kg,袋,25,1
731300000007 ,复合风味腌料T-I017/25kg/袋/和泓,kg,袋,25,1
731300000008 ,复合风味腌料T-I018/25kg/袋/和泓,kg,袋,25,1
731300000009 ,复合风味腌料T-I008/25kg/袋/日辰,kg,袋,25,1
731300000010 ,复合风味腌料T-I041/25kg/袋/和泓,kg,袋,25,1
731300000011 ,复合风味腌料T-I009/25kg/袋/日辰,kg,袋,25,1
731300000012 ,复合风味腌料T-I007/25kg/袋/日辰,kg,袋,25,1
731300000013 ,复合风味腌料T-I010/25kg/袋/日辰,kg,袋,25,1
731300000014 ,固态调味料XH03/25kg/袋/凌悦,kg,袋,25,1
731300000015 ,复合风味腌料T-I042-A/25kg/袋/五谷金园,kg,袋,25,1
731300000016 ,复合风味腌料T-I042-B/25kg/袋/五谷金园,kg,袋,25,1
731300000017 ,复合调味料XD-07A/希杰,kg,袋,25,1
731300000018 ,复合调味料XX-3c/希杰,kg,袋,20,1
731300000019 ,固态调味料TWF3303/25kg/袋/凌悦,kg,袋,25,1
731300000020 ,复合风味腌料T-I043-A/25kg/袋/和泓,kg,袋,25,1
731300000021 ,复合风味腌料T-I043-B/25kg/袋/和泓,kg,袋,25,1
731300000022 ,复合风味腌料T-I045/25kg/袋/和泓,kg,袋,25,1
731300000023 ,复合风味腌料T-I044/25kg/袋/凌悦,kg,袋,25,1
731300000024 ,鸡柳调味料YK-5013/25kg/袋/必优特,kg,袋,25,1
731300000025 ,辣素1103116/1kg/包*10包/箱/天联,kg,箱,10,1
731300000026 ,固态调味料TWF3311/25kg/袋/凌悦,kg,袋,25,1
731300000027 ,固态调味料YST6601/25kg/袋/凌悦,kg,袋,25,1
731300000028 ,固态调味料YST6602/25kg/袋/凌悦,kg,袋,25,1
731300000041 ,复合风味腌料T-I055/25kg/袋/凌悦,kg,袋,25,1
731300000043 ,固态调味料TWL9912/25kg袋/凌悦,kg,袋,25,1
731300000044 ,复合风味腌料T-I010-2/25kg袋/凌悦,kg,袋,25,1
731300000045 ,固体调味料TWL9913/25kg/袋/凌悦,kg,袋,25,1
731300000046 ,复合风味腌料T-I055-3/25kg/袋/凌悦,kg,袋,25,1
731300000047 ,复合调味料YS-F26/25kg/袋/凌悦,kg,袋,25,1
731300000048 ,腌料6070-01/25kg/袋/奇华顿,kg,袋,25,1
731300000049 ,脆皮炸鸡料D/25kg/袋/星城,kg,袋,25,1
731300000050 ,炸红葱风味调味料/kerry/25kg/包,kg,KG,1,1
731300000051 ,复合风味腌料T-I055-4/25kg/袋/凌悦,kg,袋,25,1
731300000052 ,腌制料87911(90087911.001)/kerry/25kg/包,kg,袋,25,1
731300000053 ,复合调味料D904/25kg/箱/兴化联富,kg,箱,25,1
731300000054 ,腌制粉H1176(PY-05)/25kg/包/和泓,kg,袋,25,1
731300000055 ,裹(浆)粉H3061(唐扬粉)/25kg/包/和泓,kg,袋,25,1
731300000056 ,复合调味料H3001/25kg/箱/联富,kg,袋,25,1
731300000057 ,固态调味料TWL9912Y/25kg/袋/凌悦,kg,袋,25,1
731300000058 ,预拌粉YS-F28/25kg/袋/凌悦,kg,袋,25,1
731300000059 ,鸡肉调味粉9681/10kg/箱/金晔,kg,箱,10,1
731300000060 ,蔬菜腌渍料30637997（编号：90087105-001）/kerry/25kg/包,kg,袋,25,1
731300000061 ,鸡肉用腌渍料407390008/kerry/25kg/包,kg,袋,25,1
731300000062 ,鸡肉用腌渍料30621631.01/美国kerry/22.68kg/包,kg,包,22.68,1
731300000063 ,固态调味料TWL9911A/25kg/袋/凌悦,kg,袋,25,1
731300000064 ,固态调味料TWL9932/25kg/袋/凌悦,kg,袋,25,1
731300000065 ,固态调味料TWL9915/25kg/袋/凌悦,kg,袋,25,1
731300000066 ,固态调味料TWL9911B/25kg/袋/凌悦,kg,袋,25,1
731300000067 ,固态调味料ZXH03/25kg/袋/凌悦,kg,袋,25,1
731300000068 ,复合腌料FX01/25kg/袋/三统,kg,袋,25,1
731300000069 ,固态调味料XB-003/25kg/袋/凌悦,kg,袋,25,1
731300000070 ,固态调味料S-01/20kg/袋/凌悦,kg,袋,20,1
731300000071 ,调味料NBT369（S0611RB64）/25kg/袋/日辰,kg,袋,25,1
731300000072 ,复合腌料FX02/25kg/袋/三统,kg,袋,25,1
731300000073 ,咖喱粉RCF-P049/25kg/袋/日辰,kg,袋,25,1
731300000074 ,固态调味料TWL7723/25kg/箱/凌悦,kg,袋,25,1
731300000075 ,百梦多咖喱(辣味)/100g/盒*30盒/箱/好侍,kg,箱,3,1
731300000076 ,百梦多咖喱(微辣)/1kg/盒/好侍,kg,盒,1,1
731300000077 ,爪哇风味咖喱<块状>/970g/盒/好侍,g,盒,0.97,1
731300000078 ,复合腌料ST-018/25kg/袋/三统,kg,袋,25,1
731300000079 ,复合调料ST-2018/20kg/袋/三统,kg,袋,20,1
731300000080 ,固态调味料TWL7727/25kg/袋/凌悦,kg,袋,25,1
731300000081 ,调味料HF1610/25kg/袋/天之味,kg,袋,25,1
731300000082 ,固态调味料CLF001/25kg/袋/凌悦,kg,袋,25,1
731300000083 ,原味腌料HY-T020/25kg/袋/和盈,kg,袋,25,1
731300000084 ,藤椒腌料/25kg/袋/凌悦,kg,袋,25,1
731400000002 ,大豆蛋白制品（大豆拉丝蛋白）SW5007/20kg/袋/三维,kg,袋,20,1
731400000003 ,大豆分离蛋白SMS 1500,kg,,NULL,NULL
731400000004 ,大豆组织蛋白contex31/20kg/袋/新谷,kg,袋,20,1
731400000007 ,豌豆蛋白粉JYPP-B/健源/25kg/袋,kg,袋,25,1
731400000008 ,大豆分离蛋白/20kg/袋/临沂山松,kg,袋,20,1
731400000009 ,功能性大豆浓缩蛋白/20kg/袋/索康S40,kg,袋,20,1
731500000001 ,固态复合调味料20985/25kg/袋/诚邦,kg,袋,25,1
731500000002 ,固态复合调味料811D/25kg/袋/诚邦,kg,袋,25,1
731500000003 ,鸡柳裹（浆）粉YK-2003/25kg/袋/必优特,kg,袋,25,1
731500000004 ,调味粉NBT313（N0603RB80）/25kg/袋/日辰,kg,袋,25,1
731500000005 ,裹粉11-1866B-B/25kg/袋/宝立,kg,袋,25,1
731500000006 ,打粉11-1977-B/25kg袋/宝立,kg,袋,25,1
731500000007 ,预拌粉XJ201/25kg袋/凌悦,kg,袋,25,1
731500000008 ,3112粉/诚邦,kg,袋,25,1
731500000009 ,3111粉/诚邦,kg,袋,25,1
731500000010 ,预拌粉TWL9925/25kg袋/凌悦,kg,袋,25,1
731500000011 ,打底粉PR5003/25kg/袋/全顺,kg,袋,25,1
731500000012 ,裹浆粉BA2054/25kg/袋/全顺,kg,袋,25,1
731500000013 ,裹浆粉H3085/25kg/袋/和泓,kg,袋,25,1
731500000014 ,浆粉HY-B303/25kg/袋/和盈,kg,袋,25,1
731500000015 ,固态调味料CLF-001/25kg/袋/凌悦,kg,袋,25,1
731500000016 ,调味粉NPD424 (T0517RP197)/25kg/袋/日辰,kg,袋,25,1
731500000017 ,裹粉FX06/25kg/袋/三统,kg,袋,25,1
731500000018 ,浆粉FX08/25kg/袋/三统,kg,袋,25,1
731500000019 ,预拌粉XJ201A/25kg/袋/凌悦,kg,袋,25,1
731500000020 ,调味粉NBT434（T0517RB133)/25kg/袋/日辰,kg,袋,25,1
731900000001 ,麦芽糊精/25kg/袋/山东西王,kg,袋,25,1
731900000002 ,弹脆粉2291085/台湾振芳/20kg/箱,kg,箱,20,1
731900000003 ,马铃薯纤维KF200/VITACEL/15kg/包,kg,袋,15,1
731900000004 ,马铃薯纤维NF201/CULINAR/15kg/包,kg,袋,15,1
734300000001 ,黄汁粉调味料/家乐,桶,KG,1,0.8
734300000051 ,咖喱/1号/百梦多,kg,盒,0.1,1
734300000052 ,咖喱/2号/百梦多,kg,盒,0.1,1
734300000053 ,咖喱/3号/咖王,kg,盒,0.09,1
734300000054 ,咖喱/4号/百梦多,kg,盒,0.1,1
734300000055 ,咖喱/5号/咖王,kg,盒,0.09,1
741300000001 ,鹰嘴豆/310g/罐（固形物265g/罐）,罐,kg,1,0.31
741300000002 ,鹰嘴豆/1kg/袋,袋,kg,1,1
741500000004 ,朝天干辣椒/HS,袋,kg,1,1
741500000005 ,光面菇TG1-W/大山合,kg,箱,20,1
741500000006 ,香菇TG2-W/大山合,kg,箱,20,1
741500000007 ,干香菇丝2-3mm/大山合/,kg,kg,1,1
741500000008 ,干木耳,kg,kg,1,1
741500000009 ,香菇粒3-5mm/20kg/箱/联富,kg,箱,20,1
741500000010 ,3-5mm干香菇粒/20kg/箱/大山合,kg,箱,20,1
742100000003 ,蒜（正在用）,kg,kg,1,1
742100000004 ,姜（辅料）/正在用,kg,kg,1,1
742100000005 ,胡萝卜（辅料）/ ,kg,KG,1,1
742100000007 ,蒜/辅料,kg,KG,1,1
742100000008 ,红葱头/ ,kg,袋,30,1
742100000014 ,红洋葱块 1切6,kg,kg,1,1
742100000015 ,胡萝卜条15*40mm,kg,kg,1,1
742100000016 ,黄豆芽6-7cm,kg,kg,1,1
742100000017 ,小青葱段50mm,kg,kg,1,1
742100000018 ,青葱碎2-3mm,kg,kg,1,1
742200000001 ,西芹/,kg,KG,1,1
742200000003 ,新鲜芥蓝/,kg,kg,1,1
742200000004 ,新鲜小香葱,kg,kg,1,1
742300000001 ,原汁整番茄/中粮/4.5kg*4/箱,kg,箱,18,1
742300000002 ,原汁整番茄/中粮/2.85kg*6/箱,kg,箱,17.1,1
742300000003 ,番茄丁/中粮/2.85kg*6/箱,kg,箱,17.1,1
742300000004 ,番茄丁/中粮/4.5kg*4/箱,kg,箱,18,1
742300000005 ,整番茄,kg,kg,1,1
742500000001 ,葱（辅料）/正在用,kg,KG,1,1
742500000002 ,洋葱（白圆葱）/,kg,KG,1,1
742500000003 ,小青葱,kg,KG,1,1
742500000004 ,红洋葱（紫圆葱）/,kg,KG,1,1
742500000005 ,红圆椒（红甜椒）/,kg,KG,1,1
742500000007 ,葱白,kg,KG,1,1
743100000001 ,马蹄8-10mm/ ,kg,KG,1,1
743100000002 ,冷冻胡萝卜-无规格,kg,kg,1,1
743100000003 ,冷冻胡萝卜丝25*2*2mm,kg,kg,1,1
743100000004 ,冷冻洋葱丁/5-6mm,kg,kg,1,1
743100000005 ,5mm冷冻香葱段,kg,kg,1,1
743100000006 ,速冻胡萝卜丁15*15mm,kg,箱,15,1
743100000007 ,解冻土豆丁15*15mm,kg,箱,15,1
743100000008 ,速冻洋葱丝5mm,kg,箱,15,1
743100000009 ,红洋葱碎2-3mm,kg,kg,1,1
743100000010 ,冷冻姜泥/1kg/袋*10袋/箱/恒孚,kg,箱,10,1
743100000011 ,冷冻蒜泥/1kg/袋*10袋/箱/恒孚,kg,箱,10,1
743100000012 ,冷冻葱白泥/1kg/袋*10袋/箱/恒孚,kg,箱,10,1
743100000013 ,冷冻洋葱泥/1kg/袋*10袋/箱/恒孚,kg,箱,10,1
743100000014 ,冷冻胡萝卜丝4*5mm,kg,箱,15,1
743100000015 ,冷冻笋丝4*5mm,kg,箱,15,1
743100000016 ,冷冻紫洋葱丁5-6mm,kg,箱,12,1
743100000017 ,冷冻菠菜碎3-5mm,kg,箱,15,1
743300000001 ,冷冻青豆/,kg,kg,1,1
743300000003 ,冷冻甜玉米粒/,kg,kg,1,1
743300000004 ,冷冻红甜椒丁5-6mm,kg,kg,1,1
743300000005 ,冷冻红甜椒-无规格,kg,kg,1,1
743300000006 ,冷冻红圆椒丝4*5mm,kg,箱,15,1
743300000007 ,冷冻青圆椒丝4*5mm,kg,箱,15,1
744200000001 ,生菜（辅料）/,kg,KG,1,1
744200000002 ,香菜（辅料）/,kg,KG,1,1
744200000003 ,油菜（辅料）/,kg,KG,1,1
744300000001 ,西红柿（辅料）/,kg,KG,1,1
744300000002 ,小柿子/,kg,KG,1,1
744400000001 ,西兰花（辅料）/ ,kg,KG,1,1
744500000001 ,白玉菇/,kg,KG,1,1
744500000003 ,小米椒/ ,kg,KG,1,1
744500000004 ,香菇（辅料）/,kg,KG,1,1
751100000001 ,D-异抗坏血酸钠(异VC钠)/1kg/袋*20袋/箱/德兴百勤,kg,箱,20,1
751200000001 ,水味士TK-09/25kg/袋/杭州和韵,kg,袋,25,1
751200000002 ,乳酸钠（60%溶液）/25kg/桶/青岛九泰,kg,桶,25,1
751200000004 ,611复配水分保持剂（斩拌型复合磷酸盐）/25kg/袋/云南贝克,kg,袋,25,1
751200000005 ,901复配水分保持剂（磷酸盐）/25kg/袋/云南贝克,kg,袋,25,1
751200000007 ,5'呈味核苷酸钠/1kg/包*10包/箱/韩国希杰,kg,箱,10,1
751200000008 ,小苏打/25kg/袋/青岛碱业,kg,袋,25,1
751200000009 ,三聚磷酸钠/25kg/袋/云南贝克,kg,袋,25,1
751200000010 ,焦磷酸钠/25kg/袋/云南贝克,kg,袋,25,1
751200000011 ,六偏磷酸钠/25kg/袋/云南贝克,kg,袋,25,1
751200000013 ,复合磷酸盐 CNTZ-A/25kg/袋/天之味,kg,袋,25,1
751200000015 ,六偏磷酸钠/兴发/25kg/袋,kg,袋,25,1
751200000016 ,柠檬酸/25kg/袋/潍坊英轩,kg,袋,25,1
751300000001 ,泡打粉[银]/15kg/箱/青岛大宫,kg,箱,15,1
751300000002 ,碳酸钙/25kg/袋/上海诺诚,kg,袋,25,1
751400000001 ,复配肉制品增稠剂DH638/德慧/1kg/包*25包/件,kg,袋,25,1
751400000002 ,复配肉制品增稠剂DH636/德慧/1kg/包*25包/件,kg,袋,25,1
751400000003 ,复配肉制品增稠剂DH700A/德慧/25kg/包,kg,袋,25,1
751400000004 ,明胶/麒麟协和,kg,箱,25,1
751400000005 ,复配肉制品增稠剂DH614B/德慧/25kg/袋,kg,袋,25,1
751400000006 ,黄原胶/淄博中轩,kg,袋,25,1
751400000007 ,"甲基纤维素SG A16M/陶氏化学/50磅,22.68kg/袋",kg,袋,22.68,1
751400000008 ,复配肉制品增稠剂DHBS/德慧/25kg/包,kg,包,25,1
751400000009 ,增稠剂MT301/1kg/包*25kg/箱/石花姑娘,kg,箱,25,1
751400000010 ,复配增稠剂MT9/25kg/袋/石花姑娘,kg,袋,25,1
751500000002 ,高粱红（≥80色价）/辽宁科光,kg,袋,0.5,1
751500000003 ,水溶性β-胡萝卜素（2%）/丹麦汉森,kg,包,25,1
751500000004 ,辣椒红（色价（E460nm）：180）/5kg/桶*2桶/箱/华宝,kg,桶,5,1
751500000005 ,辣椒红（色价（E460nm）：150）/5kg/桶*2桶/箱/华宝,kg,箱,10,1
751500000006 ,辣椒红4号E50/1kg/桶*15桶/箱/金晔,kg,箱,15,1
751500000007 ,红曲红TR101/天益,kg,袋,0.2,1
751500000008 ,焦糖色RCF-L039/22kg/桶/日辰,kg,桶,22,1
751500000009 ,辣椒红2号E20/金晔,kg,袋,2,1
751700000001 ,麦芽糖浆/75kg/桶/诸城东晓,kg,桶,75,1
751800000001 ,木薯变性淀粉SH-52/25kg/袋/普罗星,kg,袋,25,1
751800000002 ,木薯变性淀粉AT0170/25kg/袋/普罗星,kg,袋,25,1
751800000003 ,变性淀粉Rezita/25kg/袋/恒瑞泰,kg,袋,25,1
751800000005 ,木薯变形淀粉T0098/25kg/袋/普罗星,kg,袋,25,1
751800000006 ,玉米改性淀粉（ZH217）/25kg/袋/正豪,kg,袋,25,1
751800000007 ,淀粉PURITY W/22.7kg/袋/国民,kg,袋,22.7,1
751800000008 ,磷酸酯双淀粉ZH618(木薯)/25kg/袋/正豪,kg,袋,25,1
751900000002 ,葡萄糖粉/盛泰/25kg/袋,kg,包,25,1
751900000004 ,木糖/25kg/袋/福田,kg,袋,25,1
751900000005 ,赤藓糖醇/福田/25kg/袋,kg,袋,25,1
752900000001 ,谷氨酰胺转氨酶制剂TG-BP/1kg/袋*10袋/箱/日本味之素,kg,袋,1,1
752900000002 ,谷氨酰胺转氨酶TG-1/1kg/包*10包/箱/百帮,kg,包,1,1
761100000001 ,美国辣椒粉LJM-01/20kg/袋/凌悦,kg,袋,20,1
761100000002 ,甜椒粉/25kg/袋/星城,kg,袋,25,1
